original_url,basename,roles,posts,attempts,reasons
https://mothrly.com/wp-content/uploads/2026/05/Premature-Baby-in-NICU-1.png,premature-baby-in-nicu-1.png,featured,nicu-when-baby-arrives-early,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Woman-Recovering-From-C-Section.png,woman-recovering-from-c-section.png,featured,caesarean-recovery-honest-guide,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Parents-With-Their-Newborn.png,parents-with-their-newborn.png,featured,newborn-care-first-days,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Mother-and-Newborn-Golden-Hour.png,mother-and-newborn-golden-hour.png,featured,golden-hour-after-birth,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Woman-in-Labour-at-the-Hospital.png,woman-in-labour-at-the-hospital.png,featured,labour-what-actually-happens,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Ayurvedic-Pregnancy-Care.png,ayurvedic-pregnancy-care.png,featured,ayurvedic-pregnancy-classical-approach,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Pregnant-Woman-Discussing-Birth-Plan.png,pregnant-woman-discussing-birth-plan.png,featured,safe-birth-is-a-right,9,bingimages: below minimum resolution (42x42) | bingimages: too small (486 bytes)
https://mothrly.com/wp-content/uploads/2026/05/Modern-Indian-Woman-Managing-Pregnancy.png,modern-indian-woman-managing-pregnancy.png,featured,why-pregnancy-is-harder-now,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Pregnant-Woman-Doing-Prenatal-Yoga.png,pregnant-woman-doing-prenatal-yoga.png,featured,exercise-during-pregnancy,9,bingimages: too small (430 bytes) | bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Pregnant-Woman-Coping-With-Anxiety.png,pregnant-woman-coping-with-anxiety.png,featured,antenatal-anxiety-and-depression,9,bingimages: below minimum resolution (42x42)
